,0,1,2,3
0,3113.541,4339.706,1817.318,3613.478
1,3102.2400000000002,4331.5606,1809.4492,3600.2174
2,3087.2144,4320.39794,1799.24538,3580.9124599999996
3,3071.52976,4312.049746,1786.9674420000001,3560.5706139999993
4,3059.343984,4311.5038714,1776.9265978,3542.1456525999993
5,3057.2639856000005,4321.5123842600005,1773.4882380200002,3531.6778873399994
6,3063.7645870400006,4345.017845834001,1775.927814218,3523.7184986059997
7,3088.9668283360006,4382.846561250601,1779.9932327962001,3516.3998487453996
8,3127.5050455024,4426.29230512554,1780.54100951658,3503.2310638708595
9,3172.1769409521603,4460.182874612986,1771.217108564922,3483.200957483774
10,3216.3141468569443,4483.898187151687,1752.9257977084299,3456.7549617353966
11,3255.06543217125,4496.886968436518,1729.698517937587,3427.537165561857
12,3290.034388954125,4493.683671592867,1704.3727661438284,3395.737049005671
13,3316.1576500587125,4485.38170443358,1679.1918895294455,3364.442944105104
14,3336.690685052841,4471.632333990222,1657.812700576501,3336.1970496945933
15,3352.857716547557,4455.0395005912,1643.4607305188508,3317.968044725134
16,3368.9830448928014,4444.25695053208,1644.3484574669658,3316.71764025262
17,3391.9948404035213,4442.987755478872,1661.5516117202692,3341.962376227358
18,3410.508956363169,4442.397579930985,1693.0039505482423,3387.6799386046223
19,3426.1786607268523,4446.071121937886,1730.5063554934181,3443.0025447441603
20,3447.4634946541673,4462.441709744098,1774.1198199440764,3507.0163902697445
21,3460.7750451887505,4472.0658387696885,1807.6417379496688,3560.07395124277
22,3457.1640406698757,4458.78655489272,1826.364164154702,3590.768256118493
23,3435.122136602888,4422.431799403448,1829.5235477392316,3602.0249305066436
24,3399.7329229425995,4370.146019463104,1820.3253929653083,3596.8931374559793
25,3356.3718306483397,4313.189117516793,1803.8745536687775,3574.7389237103816
26,3309.1932475835056,4254.535905765114,1783.6057983018998,3546.8002313393436
27,3263.1055228251553,4200.176115188602,1764.1694184717098,3515.909008205409
28,3221.32627054264,4154.520103669742,1746.832476624539,3487.772407384868
29,3188.227643488376,4119.219093302768,1733.835228962085,3464.3773666463812
30,3162.8418791395384,4095.089883972491,1722.5284060658764,3436.777029981743
31,3152.2547912255845,4083.778995575242,1716.1507654592888,3414.174026983569
32,3161.1249121030264,4089.175096017718,1715.7988889133599,3399.732924285212
33,3184.8146208927237,4100.255786415946,1717.689100022024,3386.165031856691
34,3217.5195588034517,4124.430907774351,1723.2026900198216,3400.3884286710218
35,3256.6466029231065,4151.742316996916,1722.1909210178394,3403.0358858039194
36,3294.835342630796,4182.3854852972245,1711.6182289160556,3388.0227972235275
37,3336.1110083677163,4217.478736767502,1706.1249060244502,3373.401817501175
38,3383.0723075309447,4259.561263090752,1710.2274154220052,3378.9386357510575
39,3439.02167677785,4308.239436781677,1727.7545738798046,3399.581872175952
40,3503.752009100065,4374.175093103509,1763.3316164918242,3448.606284958357
41,3573.067408190059,4442.416783793158,1820.631554842642,3526.4727564625214
42,3634.8632673710526,4506.982105413843,1886.2146993583776,3619.266980816269
43,3688.8604406339473,4561.574994872459,1950.9539294225399,3715.283482734642
44,3745.4912965705525,4618.729295385214,2015.4583364802859,3813.2880344611776
45,3784.907866913497,4655.832165846693,2059.9945028322572,3887.79593101506
46,3796.6026802221472,4652.373349262023,2080.3204525490314,3929.806437913554
47,3782.1542121999328,4618.360414335821,2075.7126072941282,3941.0482941221985
48,3743.8824909799396,4567.387572902238,2053.357846564715,3926.8415647099787
49,3691.494541881945,4506.488615612015,2020.9841619082435,3892.6326082389805
50,3632.975487693751,4443.747854050813,1985.7552457174193,3849.982447415083
51,3575.5357389243754,4385.226768645732,1950.1523211456774,3806.1719026735746
52,3528.422165031938,4342.732491781158,1919.9922890311097,3770.1071124062173
53,3500.6906485287445,4332.340742603043,1902.4501601279987,3750.4931011655954
54,3500.32178367587,4352.258268342738,1898.2605441151989,3747.591491049036
55,3531.584205308283,4401.445541508464,1907.120289703679,3773.3000419441323
56,3576.3701847774546,4461.518487357617,1927.1192607333112,3822.834437749719
57,3631.7172662997095,4524.248738621855,1950.22243465998,3881.263693974747
58,3683.1752396697384,4586.06936475967,1976.879991193982,3940.3147245772725
59,3732.112015702765,4647.052028283703,2001.0375920745837,3999.4126521195453
60,3781.3961141324885,4710.383225455333,2022.0311328671253,4042.7637869075907
61,3828.1832027192395,4769.785202909799,2034.7465195804127,4082.7893082168316
62,3869.688682447316,4825.69928261882,2051.2506676223716,4134.197277395148
63,3902.7975142025844,4875.974054356938,2072.1716008601343,4179.423749655633
64,3932.6828627823256,4928.128748921244,2095.8819407741207,4219.60077469007
65,3964.128176504093,4979.1397740291195,2119.3330466967086,4254.788797221063
66,3991.882858853684,5026.672996626207,2146.7581420270376,4286.4812174989565
67,4013.7854729683154,5067.626296963587,2174.4053278243337,4316.877995749061
68,4026.243725671484,5104.176967267228,2195.9722950419,4343.474596174155
69,4022.553353104335,5114.849970540505,2203.04346553771,4351.023236556739
70,3993.5935177939014,5094.440273486454,2190.1117189839388,4333.337412901065
71,3945.865666014511,5046.801946137809,2161.390447085545,4292.013571610959
72,3879.53859941306,4979.7758515240275,2122.4239023769906,4229.8601144498625
73,3805.9717394717545,4905.557266371625,2080.5633121392916,4160.9940030048765
74,3729.2194655245794,4827.659939734463,2038.5725809253624,4089.1002027043887
75,3658.1253189721215,4753.677145761017,1998.379622832826,4023.0549824339496
76,3600.3455870749094,4695.050531184916,1966.6818605495434,3965.4921841905543
77,3564.8849283674185,4661.469478066424,1947.3624744945892,3929.119365771499
78,3561.1128355306764,4663.2548302597825,1946.5175270451302,3915.145129194349
79,3582.9357519776086,4686.045247233804,1959.777574340617,3930.403916274914
80,3624.5927767798476,4726.281322510423,1978.4520169065554,3963.0898246474226
81,3670.042499101863,4782.4426902593805,1999.4580152158999,4002.59144218268
82,3721.8703491916767,4849.920321233442,2014.0030136943099,4039.965697964412
83,3775.5876142725087,4922.566189110098,2012.3909123248789,4059.8667281679705
84,3837.866052845258,5000.093770199089,2011.9521210923908,4075.7026553511732
85,3909.054947560732,5070.19589317918,2011.5397089831517,4095.041989816056
86,3982.4199528046593,5136.125603861262,2023.3952380848366,4130.78849083445
87,4063.6660575241935,5196.836743475135,2049.768914276353,4182.635541751006
88,4146.653251771774,5252.917069127622,2086.3356228487173,4247.811487575906
89,4233.571926594597,5302.238062214859,2131.4676605638456,4317.615238818315
90,4307.244533935138,5343.770455993374,2174.747494507461,4382.056114936484
91,4361.195580541625,5365.7275103940365,2212.145945056715,4432.916803442836
92,4408.728722487462,5391.189059354633,2246.5482505510436,4479.091623098552
93,4427.954950238715,5395.70055341917,2260.236725495939,4498.737660788697
94,4408.675855214844,5361.723798077253,2250.9709529463453,4483.242294709828
95,4351.32726969336,5286.185818269528,2223.351857651711,4437.692365238845
96,4272.521142724024,5194.012336442575,2182.47877188654,4373.44722871496
97,4181.9630284516215,5101.5475027983175,2137.122094697886,4296.686505843464
98,4086.6353256064594,5007.903752518486,2089.6261852280973,4217.497555259118
99,3995.8799930458135,4924.5748772666375,2043.6915667052876,4140.898299733206
100,3915.499493741232,4854.938289539974,2004.8582100347587,4074.1410697598853
101,3857.912844367109,4812.4549605859775,1980.5716890312829,4029.7320627838967
102,3828.4077599303982,4798.21816452738,1975.0412201281545,4006.858856505507
103,3833.9997839373586,4809.5672480746425,1988.402998115339,4018.2974708549564
104,3855.3609055436227,4836.405123267178,2012.4636983038051,4055.043323769461
105,3883.8996149892605,4867.27001094046,2039.9760284734245,4101.913491392515
106,3914.6856534903345,4902.161009846415,2066.665525626082,4147.181242253264
107,3944.851488141301,4935.186008861774,2088.4410730634736,4190.930318027938
108,3975.174939327171,4973.5940079755965,2108.7421657571263,4230.406486225143
109,4005.708745394454,5005.316507178037,2125.670649181414,4261.778237602629
110,4039.4878708550086,5029.472056460234,2130.7382842632724,4286.162813842366
111,4075.0742837695075,5039.69865081421,2135.8359558369452,4288.184232458129
112,4112.706655392556,5055.097285732789,2144.716560253251,4299.240909212316
113,4145.879289853301,5069.0748571595095,2165.495004227926,4328.189618291084
